,Label,GroupRel,StakeRel
0,Protezione della privacy,363,821
1,Diversit e inclusione,468,606
2,Tutela del suolo e della biodiversit,444,539
3,Benessere degli animali,1453,410
4,"Trasparenza, tracciabilit e circolarit della filiera filiera",1383,475
5,"Economia circolare, valorizzazione scarti e gestione rifiuti rifiuti",1529,289
6,Gestione della risorse idriche,922,244
7,Qualit del prodotto e attenzione al consumatore,1494,199
8,Efficientamento energetico e lotta al cambiamento climatico,1419,109
9,Centralit e benessere del dipendente Sviluppo professionale dei dipendenti Creazione di valore per il territorio,942,491
10,Centralit e benessere del dipendente,1023,455
11,Sviluppo professionale dei dipendenti Creazione di valore per il territorio,872,564
12,Creazione di valore per il territorio,872,598
