,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
4,5,1,1,1,1,1,816,52,78,20,92,Salute
5,5,1,1,1,1,2,904,57,13,15,93,e
6,5,1,1,1,1,3,927,52,118,20,90,sicurezza
8,5,1,1,1,2,1,815,83,36,20,92,dei
9,5,1,1,1,2,2,862,83,117,20,92,lavoratori
13,5,1,2,1,1,1,673,177,111,20,91,Gestione
15,5,1,2,1,2,1,673,207,57,20,92,della
16,5,1,2,1,2,2,742,207,85,20,90,risorse
17,5,1,2,1,2,3,838,207,84,20,91,idriche
21,5,1,3,1,1,1,1162,26,196,20,91,Efficientamento
23,5,1,3,1,2,1,1160,56,133,25,92,energetico
24,5,1,3,1,2,2,1303,61,13,15,93,e
25,5,1,3,1,2,3,1327,56,56,20,93,lotta
27,5,1,3,1,3,1,1160,87,19,20,91,al
28,5,1,3,1,3,2,1191,87,172,20,91,cambiamento
29,5,1,3,1,3,3,1373,87,113,20,92,climatico
33,5,1,4,1,1,1,1218,131,88,25,91,Qualità
34,5,1,4,1,1,2,1316,131,36,20,91,del
35,5,1,4,1,1,3,1363,131,109,25,91,prodotto
36,5,1,4,1,1,4,1482,136,13,15,96,e
38,5,1,4,1,2,1,1218,162,132,20,90,attenzione
39,5,1,4,1,2,2,1360,162,19,20,93,al
40,5,1,4,1,2,3,1390,163,166,19,90,consumatore
44,5,1,5,1,1,1,1284,206,121,20,90,Economia
45,5,1,5,1,1,2,1416,206,114,23,92,"circolare,"
47,5,1,5,1,2,1,1282,237,178,20,91,valorizzazione
48,5,1,5,1,2,2,1470,237,70,20,91,scarti
50,5,1,5,1,3,1,1282,272,13,15,93,e
51,5,1,5,1,3,2,1305,267,107,25,91,gestione
52,5,1,5,1,3,3,1423,267,63,20,92,rifiuti
56,5,1,6,1,1,1,67,299,1563,1,95, 
60,5,1,7,1,1,1,230,471,76,20,90,Tutela
61,5,1,7,1,1,2,316,471,35,20,92,del
62,5,1,7,1,1,3,362,471,67,20,92,suolo
64,5,1,7,1,2,1,231,507,13,15,93,e
65,5,1,7,1,2,2,254,502,57,20,92,della
66,5,1,7,1,2,3,322,502,145,20,92,biodiversità
70,5,1,8,1,1,1,239,553,109,20,91,Diversità
71,5,1,8,1,1,2,358,558,13,15,91,e
72,5,1,8,1,1,3,382,553,125,20,91,inclusione
76,5,1,9,1,1,1,776,388,124,20,92,Centralità
77,5,1,9,1,1,2,910,393,14,15,93,e
78,5,1,9,1,1,3,934,388,129,20,91,benessere
80,5,1,9,1,2,1,776,418,37,20,91,del
81,5,1,9,1,2,2,823,418,141,25,91,dipendente
85,5,1,10,1,1,1,623,457,108,25,91,Sviluppo
86,5,1,10,1,1,2,741,457,168,25,92,professionale
88,5,1,10,1,2,1,623,487,35,20,92,dei
89,5,1,10,1,2,2,669,487,133,25,92,dipendenti
93,5,1,11,1,1,1,611,515,331,80,95, 
97,5,1,12,1,1,1,1210,358,130,20,92,Benessere
98,5,1,12,1,1,2,1350,358,58,25,92,degli
99,5,1,12,1,1,3,1419,358,88,20,92,animali
103,5,1,13,1,1,1,1129,407,162,25,92,"Trasparenza,"
104,5,1,13,1,1,2,1301,407,147,20,91,tracciabilità
106,5,1,13,1,2,1,1129,442,13,15,93,e
107,5,1,13,1,2,2,1152,437,125,20,92,circolarità
108,5,1,13,1,2,3,1288,437,57,20,92,della
109,5,1,13,1,2,4,1355,437,69,20,92,filiera
113,5,1,14,1,1,1,67,596,1563,1,95, 
117,5,1,15,1,1,1,442,632,143,20,91,Educazione
121,5,1,16,1,1,1,119,769,132,20,92,Protezione
122,5,1,16,1,1,2,261,769,58,20,92,della
123,5,1,16,1,1,3,330,769,89,25,92,privacy
127,5,1,17,1,1,1,12,839,5,36,87,—
128,5,1,17,1,1,2,12,776,5,31,91,—
129,5,1,17,1,1,3,12,713,5,32,85,—
130,5,1,17,1,1,4,12,650,5,31,90,—
131,5,1,17,1,1,5,12,587,5,32,83,—
132,5,1,17,1,1,6,12,523,5,32,85,—
133,5,1,17,1,1,7,12,461,5,30,88,—
134,5,1,17,1,1,8,12,398,5,31,85,—
135,5,1,17,1,1,9,12,335,5,30,81,—
136,5,1,17,1,1,10,12,272,5,29,80,—
137,5,1,17,1,1,11,12,209,5,30,86,—
138,5,1,17,1,1,12,12,146,5,31,79,—
139,5,1,17,1,1,13,12,83,5,30,84,—
140,5,1,17,1,1,14,1,21,27,28,66,—
144,5,1,18,1,1,1,583,10,1,887,95, 
148,5,1,19,1,1,1,28,919,34,5,82,—
149,5,1,19,1,1,2,94,919,28,5,91,—
150,5,1,19,1,1,3,154,919,29,5,90,—
151,5,1,19,1,1,4,214,919,29,5,91,—
152,5,1,19,1,1,5,274,919,29,5,88,—
153,5,1,19,1,1,6,334,919,29,5,86,—
154,5,1,19,1,1,7,396,919,27,5,88,—
155,5,1,19,1,1,8,454,919,30,5,85,—
156,5,1,19,1,1,9,514,919,30,5,85,—
157,5,1,19,1,1,10,574,919,30,5,90,—
158,5,1,19,1,1,11,634,919,30,5,91,—
159,5,1,19,1,1,12,694,919,30,5,89,—
160,5,1,19,1,1,13,756,919,29,5,85,—
161,5,1,19,1,1,14,816,919,30,5,88,—
162,5,1,19,1,1,15,878,919,28,5,90,—
163,5,1,19,1,1,16,938,919,28,5,89,—
