,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Le persone,Unknown,99.18367346938776,0.0,1.8181818181818181,0.0,1.8181818181818181,100.0
1,Relazioni industriali,Unknown,0.0,82.37924865831843,0.0,0.9090909090909091,0.0,83.05726716579431
2,Marketing responsabile,Unknown,80.0,122.3613595706619,0.9090909090909091,1.8181818181818181,0.9090909090909091,42.71001273585254
3,Produzione e gestione,RESPONSABILIT SOCIALE,217.3469387755102,197.2271914132379,5.454545454545454,2.727272727272727,5.454545454545454,20.285341990768377
4,E delle loro famiglie materie prime e lavoratori responsabili pari opportunit e non discriminazione,Unknown,215.91836734693877,231.03756708407872,4.545454545454545,3.6363636363636362,4.545454545454545,15.243637595058798
5,Presenza sul mercato,Unknown,161.83673469387756,242.30769230769232,2.727272727272727,4.545454545454545,2.727272727272727,81.13327002215891
6,Formazione e valorizzazione,Unknown,232.0408163265306,251.96779964221824,7.2727272727272725,5.454545454545454,7.2727272727272725,20.090991408820866
7,Rispetto dei diritti umani benessere dei dipendenti salvaguardia dellarte e della cultura,Unknown,195.30612244897958,268.0679785330948,3.6363636363636362,6.363636363636363,3.6363636363636362,73.3607190971532
8,Soddisfazione performance economica,Unknown,276.53061224489795,281.48479427549194,9.09090909090909,7.2727272727272725,9.09090909090909,4.994957191339613
9,Supporto alla comunit locale,Unknown,229.79591836734693,287.6565295169946,6.363636363636363,8.181818181818182,6.363636363636363,58.3368301714555
10,Etica qualit e unicit di prodotto,Unknown,264.6938775510204,295.97495527728086,8.181818181818182,9.09090909090909,8.181818181818182,31.538535156106203
11,E integrit,Unknown,300.0,300.0,10.0,10.0,10.0,0.0
