,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Governance,Unknown,269.53125,0.0,5.714285714285714,0.0,5.714285714285714,100.0
1,Privacy dei clienti,Unknown,40.011160714285715,16.020942408376982,1.4285714285714286,0.7142857142857143,1.4285714285714286,8.043985622609913
2,Ambiente,Unknown,269.53125,21.98952879581151,5.714285714285714,1.4285714285714286,6.428571428571429,91.76484104449442
3,Rilevanza,Unknown,0.6696428571428571,70.0523560209424,0.7142857142857143,2.142857142857143,0.7142857142857143,25.04364095914917
4,Risorse umane,Unknown,269.53125,84.18848167539267,5.714285714285714,2.857142857142857,7.142857142857143,68.4711057132072
5,Indiretti,Unknown,55.580357142857146,98.32460732984293,2.142857142857143,3.5714285714285716,2.142857142857143,15.06743915048663
6,Utilizzo e riuso dei materiali,Unknown,160.88169642857142,116.2303664921466,3.5714285714285716,4.285714285714286,3.5714285714285716,15.781647491342374
7,Welfare aziendale,Unknown,127.06473214285714,144.81675392670158,2.857142857142857,5.0,2.857142857142857,5.7077582103760145
8,Dipendenti,Unknown,297.4888392857143,170.5759162303665,8.571428571428571,5.714285714285714,8.571428571428571,46.58891496660047
9,Risk,Unknown,237.05357142857142,192.565445026178,4.285714285714286,6.428571428571429,4.285714285714286,15.720527170969488
10,Presenza sul,Unknown,281.0825892857143,199.4764397905759,7.857142857142858,7.142857142857143,7.857142857142858,29.621362569548165
11,Salute e sicurezza dei lavoratori,Unknown,300.0,212.9842931937173,10.0,7.857142857142858,10.0,31.647261566741616
12,Stakeholder,Unknown,0.0,217.69633507853405,0.0,8.571428571428571,0.0,80.58763478803199
13,E dei lavoratori,Unknown,264.84375,254.4502617801047,5.0,9.285714285714286,5.0,2.951960478589832
14,Qualit e sicurezza del prodotto,Unknown,297.4888392857143,300.0,8.571428571428571,10.0,9.285714285714286,0.0
