,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Governance,Unknown,257.7581446714522,0.0,5.833333333333334,0.0,5.833333333333334,100.0
1,Ambiente,Unknown,257.7581446714522,21.224920802534314,5.833333333333334,0.8333333333333334,6.666666666666667,91.69623652418615
2,Utilizzo e drenaggio di acqua,Unknown,37.27222528989508,26.927138331573417,1.6666666666666667,1.6666666666666667,1.6666666666666667,3.2053155254925696
3,Risorse umane,Unknown,257.7581446714522,80.78141499472017,5.833333333333334,2.5,7.5,68.39612408458908
4,Rilevanza,Unknown,0.0,103.90707497360086,0.0,3.3333333333333335,0.0,39.809297515995105
5,Welfare aziendale e sviluppo dei dipendenti utilizzo e riuso dei materiali,Unknown,151.5737161789067,121.64730728616684,2.5,4.166666666666667,2.5,10.866058639679348
6,Performance economica diversit e pari opportunit,Unknown,233.24130314743235,178.35269271383316,4.166666666666667,5.0,4.166666666666667,20.631947490776593
7,Lavoratori,Unknown,300.0,204.32946145723338,10.0,5.833333333333334,10.0,36.58694154030614
8,Stakeholders,Unknown,0.0,235.37486800422386,0.0,6.666666666666667,0.8333333333333334,91.2430563587227
9,Salute e sicurezza dei gestione dei rifiuti,Unknown,249.14411927112093,256.2829989440338,5.0,7.5,5.0,1.95096045862764
10,Etica e integrit di business,Unknown,261.73384870237436,263.8859556494192,8.333333333333334,8.333333333333334,8.333333333333334,0.0
11,Diritti umani e dei lavoratori,Unknown,222.63942573164,272.4392819429778,3.3333333333333335,9.166666666666668,3.3333333333333335,18.641089110604828
12,Qualit e sicurezza del ricerca e innovazione,Unknown,279.9558255107675,300.0,9.166666666666668,10.0,9.166666666666668,6.999861075847805
