,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Marketing responsabile,Unknown,9.366130558183539,0.0,1.0,0.0,1.0,5.261131280745601
1,Relazioni energetici,Unknown,0.0,41.56050955414014,0.0,1.0,0.0,23.920662611784316
2,Indiretti,Unknown,77.19962157048249,76.91082802547771,3.0,2.0,3.0,0.0
3,Dei rischi e compliance,Unknown,252.60170293282877,79.77707006369425,8.0,3.0,8.0,100.0
4,Sicurezza ed industriali,Unknown,128.00378429517502,127.0700636942675,6.0,4.0,6.0,0.37379309622226753
5,E e sviluppo welfare sociale,Unknown,126.0170293282876,150.0,5.0,5.0,5.0,13.732901650766713
6,Gestione ymane,Unknown,300.0,164.3312101910828,10.0,6.0,10.0,78.46485506676935
7,Change,Unknown,47.39829706717124,167.6751592356688,2.0,7.0,2.0,69.54385192868854
8,E climate satisfaction,Unknown,222.51655629139074,217.8343949044586,7.0,8.0,7.0,2.54635086781818
9,E idriche,Unknown,125.44938505203406,260.3503184713376,4.0,9.0,4.0,78.0198133915895
10,Salute e sicurezza dei dipendenti,Unknown,261.40018921475877,300.0,9.0,10.0,9.0,22.204672020787815
