,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Trasversali,Unknown,1.1187072715972655,0.0,0.7692307692307693,0.0,0.7692307692307693,0.0
1,Gestione delle risorse umane,Unknown,1.1187072715972655,48.06902218570255,0.7692307692307693,0.7692307692307693,1.5384615384615385,42.56256669275095
2,Aspetti del,Unknown,0.0,64.09202958093672,0.0,1.5384615384615385,0.0,58.481610585473426
3,Diversit e welfare,Unknown,146.73710379117463,189.07148726376334,3.8461538461538463,2.307692307692308,3.8461538461538463,38.275876787365725
4,Relazione,Unknown,129.77004350528279,212.98274445357436,2.307692307692308,3.076923076923077,2.307692307692308,76.23845770790354
5,Clienti,Unknown,162.0261031696706,219.1454396055875,5.384615384615385,3.8461538461538463,5.384615384615385,52.006260226221826
6,Energetiche,Unknown,188.50217526413923,229.00575184880853,6.923076923076923,4.615384615384616,6.923076923076923,36.575656256669255
7,Ae,Unknown,135.73648228713486,244.53574363188167,3.076923076923077,5.384615384615385,3.076923076923077,100.0
8,E autorit,Unknown,246.48850217526413,249.46589975349218,8.461538461538462,6.153846153846154,8.461538461538462,1.726115102795756
9,Ottimizzazione delle risorse rapporti con istituzioni digitali,Unknown,147.48290863890614,251.68447000821692,4.615384615384616,6.923076923076923,4.615384615384616,95.73024116098742
10,Sviluppo,Unknown,172.46737103791173,271.6516023007395,6.153846153846154,7.6923076923076925,6.153846153846154,91.07078323966707
11,E sicurezza sul lavoro,Unknown,300.0,280.2793755135579,10.0,8.461538461538462,10.0,17.275094259088018
12,Degli impianti,Unknown,253.76009944064637,284.96302382908794,9.230769230769232,9.230769230769232,9.230769230769232,27.938393682862646
13,Sicurezza dei dati e delle informazioni,Unknown,191.48539465506525,300.0,7.6923076923076925,10.0,7.6923076923076925,99.73564771999716
