,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Protezione della privacy,per il territorio,0.0,0.0,0.0,0.0,0.0,0.0
1,Educazione e sensibilizzazione del consumatore,per il territorio,82.63598326359832,44.52054794520549,2.142857142857143,0.7142857142857143,2.142857142857143,32.576082297471046
2,Emissioni in atmosfera,ambientale,163.38912133891213,51.712328767123296,5.0,1.4285714285714286,5.0,95.44669646684218
3,Diversit e inclusione,per il territorio,26.569037656903767,90.41095890410958,1.4285714285714286,2.142857142857143,1.4285714285714286,54.563713183516
4,Tutela del suolo e della biodiversit,ambientale,20.502092050209207,118.15068493150685,0.7142857142857143,4.285714285714286,0.7142857142857143,83.45722858367522
5,Centralit e benessere del dipendente,per il territorio,169.6652719665272,153.76712328767124,5.714285714285714,5.714285714285714,5.714285714285714,13.587655379339902
6,Sviluppo professionale dei dipendenti Creazione di valore per il territorio,per il territorio,130.7531380753138,108.21917808219177,2.857142857142857,3.5714285714285716,3.5714285714285716,19.259077827444745
7,Creazione di valore per il territorio,per il territorio,130.7531380753138,93.83561643835617,2.857142857142857,2.857142857142857,2.857142857142857,31.552262568121975
8,Benessere degli animali,per il territorio,280.5439330543933,172.94520547945206,8.571428571428571,6.428571428571429,8.571428571428571,91.96130059396238
9,"Trasparenza, tracciabilit e circolarit della filiera",per il territorio,262.55230125523013,145.54794520547946,7.142857142857143,5.0,7.142857142857143,100.0
10,"Economia circolare, valorizzazione scarti e gestione rifiuti",ambientale,300.0,223.63013698630135,10.0,7.142857142857143,10.0,65.27095707550059
11,Gestione della risorse idriche,ambientale,143.72384937238493,242.8082191780822,4.285714285714286,7.857142857142858,4.285714285714286,84.6843426611965
12,Qualit del prodotto e attenzione al consumatore,per il territorio,291.0041841004184,261.986301369863,9.285714285714286,8.571428571428571,9.285714285714286,24.80068581225891
13,Salute e sicurezza dei lavoratori,per il territorio,180.7531380753138,295.2054794520548,6.428571428571429,9.285714285714286,6.428571428571429,97.81887208376708
14,Efficientamento energetico e lotta al cambiamento climatico,ambientale,271.54811715481173,300.0,7.857142857142858,10.0,7.857142857142858,24.31694323678891
