,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Cybersecurity,Unknown,246.588693957115,0.0,8.88888888888889,0.0,8.88888888888889,79.90441265923982
1,Sostegno allo sviluppo del territorio,Unknown,192.39766081871346,48.34123222748815,6.666666666666667,1.1111111111111112,6.666666666666667,41.327447470411386
2,Diversity,Unknown,31.189083820662766,65.40284360189574,1.1111111111111112,2.2222222222222223,1.1111111111111112,0.0
3,Dialogo con gli stakeholder,Unknown,138.98635477582846,98.1042654028436,3.3333333333333335,3.3333333333333335,3.3333333333333335,2.5089070022071986
4,Benessere dei lavoratbri,Unknown,165.69200779727095,100.47393364928911,5.555555555555555,4.444444444444445,5.555555555555555,11.665131476042328
5,Sostenibilit,Unknown,84.99025341130604,205.21327014218008,2.2222222222222223,5.555555555555555,2.2222222222222223,32.36031213611637
6,Risk management,Unknown,192.78752436647173,254.02843601895734,7.777777777777779,6.666666666666667,7.777777777777779,10.16875510523297
7,Dei servizi,Unknown,139.1812865497076,257.34597156398104,4.444444444444445,7.777777777777779,4.444444444444445,31.5858808807939
8,Della,Unknown,300.0,257.81990521327015,10.0,8.88888888888889,10.0,2.9972714159092058
9,Governance responsabilit economica responsabilit sociale responsabilit ambientale servizi,Unknown,0.0,300.0,0.0,10.0,0.0,100.0
