,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Di fornitura,Unknown,106.79886685552408,0.0,4.444444444444445,0.0,4.444444444444445,74.17876091427112
1,Impatti ambientali diretti,Unknown,33.994334277620396,9.61098398169338,1.1111111111111112,1.1111111111111112,1.1111111111111112,11.780296151599767
2,Sensibilizzazione alle,Unknown,0.0,46.681922196796336,0.0,2.2222222222222223,0.0,28.662998718999543
3,Con il territorio e con la comunit,Unknown,229.46175637393767,88.55835240274598,7.777777777777779,3.3333333333333335,7.777777777777779,100.0
4,Con,Unknown,53.257790368271955,96.10983981693363,2.2222222222222223,4.444444444444445,2.2222222222222223,25.76332412256376
5,Con la rete distributiva educazione inanziaria,Unknown,156.657223796034,147.59725400457666,5.555555555555555,5.555555555555555,5.555555555555555,0.17865293722117506
6,Evoluzione del modello di servizio e relazione salute e sicurezza,Unknown,177.90368271954674,186.72768878718534,6.666666666666667,6.666666666666667,6.666666666666667,0.0
7,Con,Unknown,90.08498583569406,189.4736842105263,3.3333333333333335,7.777777777777779,3.3333333333333335,68.56837155884502
8,Economica,Unknown,300.0,269.1075514874142,10.0,8.88888888888889,10.0,16.70846687313188
9,Lotta,Unknown,269.971671388102,300.0,8.88888888888889,10.0,8.88888888888889,16.05422411127526
