,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Esportazioni,Unknown,104.31856421761077,0.0,3.0,0.0,3.0,53.024266137467734
1,Diversit e pari opportunit,Unknown,217.2181716208637,33.4476843910806,6.0,1.0,6.0,100.0
2,Climatici,Unknown,93.04542905215928,49.39965694682675,2.0,2.0,2.0,17.151642456270277
3,Controllo delle,Unknown,151.09366236679753,57.375643224699814,4.0,3.0,4.0,46.756722629568145
4,Salute e sicurezza sul lavoro,Unknown,164.89063376332024,127.87307032590053,5.0,4.0,5.0,13.232732069148499
5,Vicinanza al cliente,Unknown,291.08244531688166,137.3927958833619,9.0,5.0,9.0,82.21478628701307
6,Media,Unknown,0.0,148.71355060034304,0.0,6.0,0.0,79.27268135614621
7,Cyber security e protezione dei dati,Unknown,300.0,193.99656946826758,10.0,7.0,10.0,54.02043877326408
8,Efficienza e sviluppo della catena di fornitura,Unknown,244.1390914189568,229.50257289879931,7.0,8.0,7.0,0.0
9,Sviluppo dei territori,Unknown,67.13404374649467,236.70668953687823,1.0,9.0,1.0,91.60556477937625
10,Innovazione e tecnologia,Unknown,280.31407739764444,300.0,8.0,10.0,8.0,2.9854464604133053
