,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Richieste dal,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Risk management,Anticorruzione,233.17307692307693,37.70642201834863,7.0,1.0,7.0,84.1180639038279
2,Governance e compliance,Anticorruzione,193.10897435897436,41.009174311926586,4.0,2.0,4.0,65.45536222714331
3,Innovazione,Unknown,149.51923076923077,116.69724770642202,3.0,3.0,3.0,14.124770642201836
4,Impatti,Ambientale,121.15384615384616,137.61467889908258,2.0,4.0,2.0,7.083834229674154
5,Performance economico finanziaria,Anticorruzione,231.25,138.9908256880734,6.0,5.0,6.0,39.70325846251186
6,Benessere ed equilibrio,Unknown,259.13461538461536,187.98165137614677,9.0,6.0,9.0,30.620310028471998
7,Valorizzazione e crescita del personale,Unknown,212.17948717948718,213.57798165137615,5.0,7.0,5.0,0.6018348623853207
8,Etica ed integrit business,Anticorruzione,256.7307692307692,260.3669724770642,8.0,8.0,8.0,1.5648212590952262
9,Solidit finanziaria,Anticorruzione,300.0,294.77064220183485,10.0,9.0,10.0,2.2504270800379698
10,Matrice di materialit,Unknown,67.62820512820512,300.0,1.0,10.0,1.0,100.0
