,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Richieste dal,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Rilevanza,Unknown,105.68181818181819,62.42152466367713,2.0,1.0,2.0,40.894132932185144
2,Governance e compliance,Unknown,152.43506493506493,66.99551569506727,4.0,2.0,4.0,80.76635640073167
3,Risk management,sicurezza,222.24025974025975,126.99551569506727,7.0,3.0,7.0,90.03524727456404
4,Innovazione,Unknown,120.94155844155844,182.42152466367713,3.0,4.0,3.0,58.11726428299118
5,Stakeholder,Unknown,88.47402597402598,194.26008968609864,1.0,5.0,1.0,100.0
6,Inanziaria,sicurezza,218.34415584415584,198.29596412556054,6.0,6.0,6.0,18.95163787657535
7,Benessere ed equilibrio vita,Unknown,254.87012987012986,218.20627802690584,9.0,7.0,9.0,34.65848955587883
8,Business,Unknown,241.3961038961039,228.1614349775785,8.0,8.0,8.0,12.510786822116184
9,Valorizzazione e crescita,Unknown,196.5909090909091,245.65022421524662,5.0,9.0,5.0,46.375971846222235
10,Solidit finanziaria,sicurezza,300.0,300.0,10.0,10.0,10.0,0.0
