,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Ambiente,Unknown,39.1875,0.0,2.142857142857143,0.0,2.142857142857143,12.472249107915628
1,Diversit,Unknown,263.0625,23.654568210262823,7.857142857142858,0.7142857142857143,7.857142857142858,79.66551659777016
2,Personale,Unknown,28.125,24.217772215269065,1.4285714285714286,1.4285714285714286,1.4285714285714286,0.6323147571349079
3,Legenda,Unknown,20.8125,52.37797246558199,0.7142857142857143,2.142857142857143,0.7142857142857143,9.91432367364715
4,Importanza per enav,Unknown,166.5,102.3153942428035,5.714285714285714,2.857142857142857,5.714285714285714,20.861189230566893
5,E pari opportunit,Unknown,150.0,171.4017521902378,4.285714285714286,3.5714285714285716,4.285714285714286,6.503415161220968
6,Emissioni,Unknown,57.0,187.17146433041302,2.857142857142857,4.285714285714286,2.857142857142857,43.00614516384347
7,Gestione responsabile della catena di fornitura,Unknown,175.875,193.7421777221527,6.428571428571429,5.0,6.428571428571429,5.317224493396093
8,Lotta alla corruzione e integrit aziendale,Unknown,210.375,229.59949937421777,7.142857142857143,5.714285714285714,7.142857142857143,5.7727368305823274
9,Adeguatezza del capitale umano,Unknown,287.25,245.93241551939926,9.285714285714286,6.428571428571429,9.285714285714286,13.187097912313872
10,Dei dipendenti,Unknown,134.8125,256.82102628285355,3.5714285714285716,7.142857142857143,3.5714285714285716,40.266692077912765
11,E sicurezza dei lavoratori,Unknown,266.4375,268.46057571964957,8.571428571428571,7.857142857142858,8.571428571428571,0.0
12,Qualit del servizio,Unknown,300.0,289.6745932415519,10.0,8.571428571428571,10.0,2.7862328798948535
13,Innovazione tecnologica,Unknown,153.5625,290.2377972465582,5.0,9.285714285714286,5.0,45.188808446194194
14,Stakeholder,Unknown,0.0,300.0,0.0,10.0,0.0,100.0
