,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Diversit,Unknown,256.74255691768826,0.2835538752362936,8.823529411764707,0.5882352941176471,8.823529411764707,85.23194857113836
1,Ambiente,Unknown,37.828371278458846,0.0,1.1764705882352942,0.0,1.1764705882352942,9.865168141815113
2,Diritti umani,Unknown,256.74255691768826,17.722117202268407,8.823529411764707,1.1764705882352942,9.411764705882353,79.2204927990578
3,Rilevanza,Unknown,0.0,133.2703213610586,0.0,1.7647058823529411,0.0,42.766104472578554
4,Relazioni con i clienti,Unknown,201.22591943957968,151.27599243856332,7.0588235294117645,2.3529411764705883,7.0588235294117645,14.04373461821797
5,Welfare pagamento aziendale,Unknown,119.61471103327496,151.27599243856332,4.11764705882353,2.3529411764705883,4.11764705882353,7.739236818244327
6,Dei fornitori,Unknown,53.41506129597198,153.82797731569,2.3529411764705883,3.5294117647058822,2.3529411764705883,31.439435222904244
7,Relazioni con i dipendenti,Unknown,175.6567425569177,166.44612476370511,5.294117647058823,4.11764705882353,5.294117647058823,0.0
8,Diversit negli organi di governo e controllo,pari,62.521891418563925,173.39319470699434,2.9411764705882355,4.705882352941177,2.9411764705882355,35.04467100604344
9,E associazioni di settore,Unknown,208.05604203152365,174.8109640831758,7.647058823529412,5.294117647058823,7.647058823529412,8.285206270660023
10,Gestione dei rifiuti,Unknown,200.52539404553414,190.6899810964083,5.882352941176471,5.882352941176471,5.882352941176471,0.21538061226411717
11,Rispetto dei diritti umani nelle operazioni commerciali e in azienda,Unknown,300.0,201.46502835538752,10.0,6.470588235294118,10.0,30.79206655258066
12,Emissioni elettromagnetiche,Unknown,106.83012259194396,205.43478260869566,3.5294117647058822,7.0588235294117645,3.5294117647058822,30.816089664983146
13,Rispetto dei criteri sociali e ambientali nella catena di fornitura,Unknown,38.879159369527144,205.43478260869566,1.7647058823529411,7.0588235294117645,1.7647058823529411,54.240279056125644
14,Adeguatezza del capitale umano,Unknown,250.61295971978984,222.73156899810965,8.23529411764706,8.23529411764706,8.23529411764706,6.436225484014358
15,E integrit aziendale,Unknown,139.4045534150613,237.90170132325142,4.705882352941177,8.823529411764707,4.705882352941177,30.779027879934656
16,Corruzione security,Unknown,200.8756567425569,240.02835538752362,6.470588235294118,9.411764705882353,6.470588235294118,10.321692870499447
17,Molto,Unknown,0.7005253940455342,300.0,0.5882352941176471,10.0,0.5882352941176471,100.0
