,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Molto rilevante,Unknown,234.2675159235669,0.0,6.153846153846154,0.0,6.153846153846154,100.0
1,Responsabilit sociale,Unknown,124.20382165605096,0.0,0.7692307692307693,0.0,0.7692307692307693,53.017944535073404
2,Governance e compliance,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
3,Generazione e gestione dei rifiuti,Responsabilit verso,217.8343949044586,86.90322580645162,4.615384615384616,2.307692307692308,4.615384615384616,55.88959637951902
4,Politiche e finanziamenti,Responsabilit verso,167.5796178343949,90.7741935483871,2.307692307692308,3.076923076923077,2.307692307692308,32.78534968162921
5,Diversit e pari opportunit,Unknown,203.12101910828025,108.7741935483871,3.076923076923077,3.8461538461538463,3.076923076923077,40.273114771351885
6,Marketing responsabile,Unknown,140.44585987261146,118.64516129032259,1.5384615384615385,4.615384615384616,1.5384615384615385,9.305899068568115
7,Impatti,Unknown,206.36942675159236,140.90322580645162,3.8461538461538463,5.384615384615385,3.8461538461538463,27.945061306109558
8,Governance e risk management,Responsabilit verso,226.05095541401275,207.8709677419355,5.384615384615385,6.153846153846154,5.384615384615385,7.760353628374469
9,Dei,Unknown,265.6050955414013,243.29032258064515,7.6923076923076925,6.923076923076923,7.6923076923076925,9.52533810450982
10,Dei,Unknown,290.0636942675159,259.741935483871,9.230769230769232,7.6923076923076925,9.230769230769232,12.943219491659208
11,Etica e integrit di business,Responsabilit verso,240.38216560509554,266.7096774193548,6.923076923076923,8.461538461538462,6.923076923076923,11.238225543335256
12,Salute e sicurezza dei lavoratori,Unknown,275.54140127388536,280.06451612903226,8.461538461538462,9.230769230769232,8.461538461538462,1.9307477766668388
13,Performance economica,Umane,300.0,300.0,10.0,10.0,10.0,0.0
