,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Employer branding supporto a campagne di ricerca,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,E retention dei talenti,Unknown,177.87381158167676,13.014460511679658,7.0,1.25,7.0,85.57302341318378
2,Sostenibili,Unknown,73.12013828867761,21.69076751946608,2.0,2.5,2.0,26.6952812830766
3,Trasparenza e comunicazione,Unknown,47.70959377700951,107.45272525027809,1.0,3.75,1.0,31.010678831122362
4,Welfare eccedenze aziendale,Unknown,98.01210025929127,110.12235817575083,3.0,5.0,3.0,6.286033382388385
5,Climate change,Unknown,190.31979256698358,121.46829810901002,8.0,6.25,8.0,35.73852807890328
6,Gestione responsabile delle comunit locali,Unknown,177.3552290406223,170.85650723025583,6.0,7.5,6.0,3.3732710339138685
7,Sicurezza,Unknown,300.0,203.8932146829811,10.0,8.75,10.0,49.88584594517311
8,Comunit,Unknown,262.6620570440795,300.0,9.0,10.0,9.0,19.380888290713322
9,Ambiente,Unknown,156.0933448573898,300.0,5.0,10.0,5.0,74.6971736204576
10,Persone,Unknown,107.3465859982714,300.0,4.0,10.0,4.0,100.0
