,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Performance,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Sensibilizzazione sociale e ambientale,Unknown,123.01488833746899,91.08781127129751,3.5714285714285716,0.7142857142857143,3.5714285714285716,11.790709789385664
2,Valorizzazione dei criteri di sostenibilit nella governance e nei rapporti con la comunit finanziaria,Unknown,192.6178660049628,124.90170380078638,5.714285714285714,1.4285714285714286,5.714285714285714,25.007664025918068
3,E al terzo settore,Unknown,98.8213399503722,135.64875491480996,1.4285714285714286,2.142857142857143,1.4285714285714286,13.600410749753413
4,Pratiche di comunicazione t logi,Unknown,131.38957816377172,150.7208387942333,4.285714285714286,2.857142857142857,4.285714285714286,7.139058908660721
5,Supporto alla comunit,Unknown,106.26550868486352,170.9043250327654,2.142857142857143,3.5714285714285716,2.142857142857143,23.871196323669604
6,A metodi di smaltimento responsabili,Unknown,234.30521091811414,194.10222804718217,7.857142857142858,4.285714285714286,7.857142857142858,14.847012230914626
7,E le istituzioni,Unknown,122.45657568238214,200.78636959370903,2.857142857142857,5.0,2.857142857142857,28.927291588787842
8,Riduzione dei consumi energetici qualit e costi del servizio,Unknown,158.37468982630273,214.02359108781127,5.0,5.714285714285714,5.0,20.55120935476558
9,E business continuity,Unknown,204.5285359801489,232.5032765399738,6.428571428571429,6.428571428571429,6.428571428571429,10.331106937557331
10,Sul lavoro,Unknown,287.9032258064516,239.44954128440367,9.285714285714286,7.142857142857143,9.285714285714286,17.894006746744843
11,Aziendale itori,Unknown,244.5409429280397,249.93446920052423,8.571428571428571,7.857142857142858,8.571428571428571,1.9918360483952053
12,Efficienza e affidabilit al servizio,Unknown,211.60049627791562,271.82175622542593,7.142857142857143,8.571428571428571,7.142857142857143,22.239787178782727
13,Del business,Unknown,300.0,273.0013106159895,10.0,9.285714285714286,10.0,9.97065000848223
14,Rilevante,Unknown,29.218362282878413,300.0,0.7142857142857143,10.0,0.7142857142857143,100.0
