,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Ambientali,Unknown,300.0,0.0,10.0,0.0,9.333333333333332,100.0
1,Sociali,Unknown,300.0,11.257928118393238,10.0,0.6666666666666666,10.0,96.24498115013365
2,Trasporto,Unknown,158.68965517241378,158.87949260042282,2.857142857142857,1.3333333333333333,2.6666666666666665,0.0
3,Procedure di,Unknown,0.0,172.99154334038053,0.0,2.0,0.0,57.6370408627753
4,Tecnologie,Unknown,205.44827586206895,189.16490486257928,5.0,2.6666666666666665,4.666666666666666,5.367907956627796
5,Dei fornitori,Unknown,77.17241379310344,189.16490486257928,0.7142857142857143,2.6666666666666665,0.6666666666666666,37.291148733032195
6,Risorse naturali,Unknown,249.93103448275863,214.69344608879493,8.571428571428571,4.0,8.0,11.689980975057486
7,Accessibilit ai servizi lavoro minorile delle,Unknown,98.48275862068965,219.29175475687103,1.4285714285714286,4.666666666666666,1.3333333333333333,40.23184460240204
8,Locale uso efficiente delle consumi energetici ed,Unknown,174.6206896551724,221.82875264270615,4.285714285714286,5.333333333333333,4.0,15.682665709583677
9,Emergenze,Unknown,268.7586206896552,230.86680761099365,9.285714285714286,6.0,8.666666666666666,12.57528274799538
10,Utilizzo dei dipendenti,Unknown,167.3793103448276,234.1966173361522,3.5714285714285716,6.666666666666666,3.333333333333333,22.223219183678225
11,Nella,Unknown,206.27586206896552,244.97885835095138,5.714285714285714,7.333333333333333,5.333333333333333,12.845848360703574
12,Acustico,Unknown,219.31034482758622,276.0570824524313,6.428571428571429,8.0,6.0,18.864237193179033
13,Gestione dei rapporti con gestione dei terreni,Unknown,105.93103448275862,278.7526427061311,2.142857142857143,8.666666666666666,2.0,57.58035995658112
14,Sul lavoro,Unknown,225.72413793103448,289.69344608879493,7.142857142857143,9.333333333333332,6.666666666666666,21.273285129031134
15,Stradale,Unknown,249.31034482758622,300.0,7.857142857142858,10.0,7.333333333333333,16.843931276772057
