,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Di,Tematiche diritti umani,0.0,0.0,0.0,0.0,0.0,0.0
1,Integrit diversity,Tematiche diritti umani,75.21613832853026,15.436893203883471,2.0,1.0,2.0,23.785202114715183
2,Di vita,Tematiche diritti umani,127.95389048991355,15.436893203883471,3.0,1.0,3.0,44.76870720278935
3,Evoluzione digitale,Tematiche diritti umani,275.5043227665706,24.17475728155341,8.0,3.0,8.0,100.0
4,E indipendenza editoriale,Tematiche diritti umani,59.07780979827089,43.10679611650488,1.0,4.0,1.0,6.354609992240689
5,Privacy e protezione dati,Tematiche diritti umani,151.5850144092219,58.25242718446603,4.0,5.0,4.0,37.13553836956751
6,Brand management,Tematiche diritti umani,210.37463976945244,74.27184466019418,7.0,6.0,7.0,54.153117579543945
7,Del capitale umano,Tematiche diritti umani,275.5043227665706,98.44660194174756,8.0,7.0,9.0,70.44842515170711
8,Trasformazione,Tematiche diritti umani,300.0,157.8640776699029,10.0,8.0,10.0,56.553602062615425
9,Istruzione e mondo delle scuole,Tematiche diritti umani,182.70893371757924,216.11650485436894,6.0,9.0,6.0,13.292336328326346
10,Promozione della cultura e della lettura,Tematiche diritti umani,181.84438040345822,300.0,5.0,10.0,5.0,47.012224514264524
