,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Helvetia,Unknown,182.2700296735905,0.0,4.545454545454545,0.0,4.545454545454545,63.268256792827316
1,Molto rilevante,Unknown,300.0,21.21212121212119,10.0,0.9090909090909091,10.0,100.0
2,Approvvigionamenti sostenibili,Unknown,169.3620178041543,60.17316017316017,2.727272727272727,1.8181818181818181,2.727272727272727,35.455796513390105
3,Corporate citizenahlp,Unknown,116.3946587537092,88.0952380952381,0.9090909090909091,2.727272727272727,0.9090909090909091,4.671749269141642
4,Offerta sostenibile,Unknown,174.03560830860533,141.12554112554113,3.6363636363636362,3.6363636363636362,3.6363636363636362,6.4264204073252
5,Stakeholder,Unknown,0.0,147.1861471861472,0.0,4.545454545454545,0.0,49.91640349247631
6,Corporate governance,Unknown,237.46290801186944,190.25974025974025,5.454545454545454,5.454545454545454,5.454545454545454,11.865937600829126
7,Inv estimenti sostenibili,Partner impegnato,164.68842729970328,205.84415584415586,1.8181818181818181,6.363636363636363,1.8181818181818181,9.564467084486251
8,Promozione del dipendente,Unknown,282.64094955489617,240.9090909090909,7.2727272727272725,7.2727272727272725,7.2727272727272725,9.783724591061539
9,Impegno del dipendente,Unknown,293.5459940652819,260.6060606060606,9.09090909090909,8.181818181818182,9.09090909090909,6.437786599137626
10,Risk management,Unknown,252.59643916913947,282.034632034632,6.363636363636363,9.09090909090909,6.363636363636363,5.105131163409163
11,Aspettative e tutela del cliente,Unknown,283.97626112759644,300.0,8.181818181818182,10.0,8.181818181818182,0.0
