,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Diversit e inclusione,experience,234.6613545816733,0.0,8.181818181818182,0.0,7.5,100.0
1,Finanza responsabile,Impatto positivo sulla societ,195.6175298804781,81.6425120772947,4.545454545454545,0.8333333333333334,4.166666666666667,48.569999097791225
2,Dei dipendenti,Sviluppo delle persone,145.4183266932271,95.65217391304347,1.8181818181818181,1.6666666666666667,1.6666666666666667,21.20764744961985
3,Performance management,Impatto positivo sulla societ,195.6175298804781,150.2415458937198,4.545454545454545,3.3333333333333335,5.0,19.336794534255226
4,Ambientale vicinanza ai territori,Sviluppo delle persone,145.81673306772907,149.7584541062802,2.727272727272727,2.5,2.5,1.679748693847762
5,Supporto alle imprese diritti umani,Rischi,249.003984063745,172.46376811594203,9.09090909090909,4.166666666666667,8.333333333333334,32.61730764498904
6,Infrastrutture nazionali riscaldamento globale,dei trend futuri,0.0,177.29468599033817,0.0,5.0,0.0,75.55342306209657
7,Della,dei trend futuri,156.57370517928288,204.83091787439614,3.6363636363636362,5.833333333333334,3.3333333333333335,20.56461865275624
8,Solidit,experience,221.91235059760956,245.41062801932367,6.363636363636363,6.666666666666667,5.833333333333334,10.013697169525026
9,Big data,dei trend futuri,78.08764940239044,245.41062801932367,0.9090909090909091,6.666666666666667,0.8333333333333334,71.30401975017018
10,Semplicit e trasparenza,Correttezza aziendale,221.91235059760956,272.94685990338166,6.363636363636363,8.333333333333334,6.666666666666667,21.748152522493715
11,Nanziaria,experience,300.0,281.64251207729467,10.0,9.166666666666668,9.166666666666668,7.822970235312458
12,Chiaro approccio ai mercati,Correttezza aziendale,300.0,300.0,10.0,10.0,10.0,0.0
