,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Della,Planet,0.0,0.0,0.0,0.0,0.0,0.0
1,Lotta alla opportunit,Governance,276.2295081967213,23.217922606924617,9.0,1.0,9.0,100.0
2,Gestione carburanti,Planet,62.021857923497265,66.59877800407332,1.0,2.0,1.0,1.808976482206052
3,Pratiche concorrenziali,Planet,185.5191256830601,71.18126272912423,4.0,3.0,4.0,45.19076179353695
4,Idriche,Planet,170.21857923497268,71.18126272912423,3.0,3.0,3.0,39.14339190238345
5,Responsabile,Planet,109.01639344262296,82.4847250509165,2.0,5.0,2.0,10.486345251684162
6,Salute e gestione,Governance,233.33333333333334,98.67617107942974,7.0,6.0,7.0,53.22173762913012
7,Economico,Planet,300.0,135.64154786150712,10.0,7.0,10.0,64.96084033280768
8,E qualit dei catena di servizi,Planet,224.86338797814207,138.69653767820773,6.0,8.0,6.0,34.05648405351491
9,Gestione,Planet,212.29508196721312,139.0020366598778,5.0,9.0,5.0,28.968256586543852
10,Qualit e con,Planet,259.8360655737705,300.0,8.0,10.0,8.0,15.874345964277932
