,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Impatto,Unknown,0.0,0.0,0.0,0.0,0.0,0.0
1,Inclusione e diversit,gestione ambientale,173.87267904509284,11.571841851494696,4.166666666666667,0.8333333333333334,4.166666666666667,54.100279064532714
2,In azienda,gestione ambientale,128.51458885941645,54.38765670202508,1.6666666666666667,1.6666666666666667,1.6666666666666667,24.708977385797123
3,Biodiversit,gestione ambientale,235.14588859416446,86.49951783992285,6.666666666666667,2.5,6.666666666666667,49.54879025141388
4,Gestione,gestione ambientale,167.50663129973475,93.73191899710704,3.3333333333333335,3.3333333333333335,3.3333333333333335,24.59157076754257
5,Accesso allenergia elettrica,gestione ambientale,290.6498673740053,127.29026036644166,9.166666666666668,4.166666666666667,9.166666666666668,54.45320233585454
6,Uso efficiente delle risorse idriche,gestione ambientale,182.0291777188329,133.65477338476373,5.0,5.0,5.0,16.124801444689723
7,Rispetto dei diritti umani,gestione ambientale,300.0,163.16297010607522,10.0,5.833333333333334,10.0,45.612343297974924
8,Gestione sviluppo responsabile delle persone,gestione ambientale,208.09018567639257,180.81002892960464,5.833333333333334,6.666666666666667,5.833333333333334,9.093385582262641
9,Peri dienti,gestione ambientale,284.6816976127321,225.94021215043395,8.333333333333334,7.5,8.333333333333334,19.580495154099378
10,Correttezza salute e sicurezza,gestione ambientale,166.11405835543766,229.99035679845707,2.5,8.333333333333334,2.5,21.29209948100647
11,Mitigazione,gestione ambientale,277.7188328912467,271.07039537126326,7.5,9.166666666666668,7.5,2.2161458399944727
12,Sostenibilit,Unknown,0.0,300.0,0.0,10.0,0.8333333333333334,100.0
