,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Compliance,business,122.60183968462549,0.0,3.0,0.0,3.0,100.0
1,Diritti umani,business,38.436268068331145,37.9973474801061,1.0,1.0,1.0,0.0
2,Opportunit,business,85.15111695137976,40.9814323607427,2.0,2.0,2.0,35.79708501227239
3,Biodiversit,Unknown,0.0,78.77984084880637,0.0,3.0,0.0,64.12823206914481
4,Fornitori,Unknown,159.65834428383707,100.86206896551724,5.0,4.0,5.0,47.77010500546747
5,Efficienza energetica,Unknown,183.50854139290408,166.3129973474801,7.0,5.0,7.0,13.716620052256657
6,Odori,Unknown,122.60183968462549,178.6472148541114,3.0,6.0,4.0,45.5182759159357
7,Formazione e sviluppo delle risorse umane,business,183.50854139290408,213.0636604774536,7.0,7.0,8.0,23.83390861293064
8,Cestioni,Unknown,159.65834428383707,239.12466843501326,5.0,8.0,6.0,64.69017288346681
9,Salute,Unknown,300.0,281.2997347480106,10.0,9.0,10.0,14.948353230945678
10,Aria,Unknown,219.38239159001313,300.0,9.0,10.0,9.0,65.63258999933663
