,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Responsabilit ambientale,Unknown,260.8695652173913,0.0,9.09090909090909,0.0,9.09090909090909,100.0
1,Responsabilit di prodotto,Unknown,190.02557544757033,0.0,6.363636363636363,0.0,6.363636363636363,72.30986224084572
2,Fincantieri,Unknown,127.62148337595907,0.0,3.6363636363636362,0.0,3.6363636363636362,47.91854955769178
3,Responsabilit economica,Unknown,31.457800511508953,0.0,0.9090909090909091,0.0,0.9090909090909091,10.33193657053652
4,Cyber security,Unknown,148.5933503836317,136.3416599516519,5.454545454545454,3.6363636363636362,5.454545454545454,2.825021225316998
5,Diritti umani,Unknown,0.0,182.99758259468172,0.0,4.545454545454545,0.0,69.56289540711528
6,Ricerca e sviluppo climate change,Unknown,44.24552429667519,192.42546333601933,1.8181818181818181,5.454545454545454,1.8181818181818181,55.9540437652343
7,Impatto ambientale,Unknown,135.03836317135548,194.11764705882354,4.545454545454545,6.363636363636363,4.545454545454545,21.128091364719424
8,Pratiche di,Unknown,224.04092071611254,219.01692183722804,7.2727272727272725,7.2727272727272725,7.2727272727272725,0.0
9,Soddisfazione del cliente,Unknown,260.35805626598466,226.02739726027397,8.181818181818182,8.181818181818182,8.181818181818182,11.454824309150165
10,E sicurezza nei sostenibilit,Unknown,300.0,248.2675261885576,10.0,9.09090909090909,10.0,18.25651137950867
11,Matrice di materialit,Unknown,104.34782608695652,300.0,2.727272727272727,10.0,2.727272727272727,74.50907895817929
