,Label,Macrotheme,GroupRel,StakeRel,RankGroup,RankStake,RankAbsolute,Alignment
0,Remunerazione,Comunit,151.5274949083503,0.0,4.545454545454545,0.0,4.545454545454545,64.35613302249205
1,Di non,Comunit,60.4887983706721,0.0,2.727272727272727,0.0,2.727272727272727,25.690553101720617
2,Pubbliche,Unknown,285.33604887983705,49.88452655889145,9.09090909090909,1.8181818181818181,9.09090909090909,100.0
3,Di,Comunit,165.58044806517313,100.4618937644342,5.454545454545454,2.727272727272727,5.454545454545454,27.65688395591488
4,Relazioni industriali,Comunit,195.5193482688391,116.3972286374134,6.363636363636363,3.6363636363636362,6.363636363636363,33.60442049874445
5,Energia,Unknown,269.4501018329939,149.65357967667435,8.181818181818182,4.545454545454545,8.181818181818182,50.87948507422435
6,Salute e sicurezza dei,Comunit,0.0,151.73210161662817,0.0,5.454545454545454,0.0,64.4430327402178
7,Privacy dei,Comunit,0.6109979633401222,201.61662817551962,0.9090909090909091,6.363636363636363,0.9090909090909091,85.3702826937714
8,Compliance economica,Comunit,105.70264765784114,249.4226327944573,3.6363636363636362,7.2727272727272725,3.6363636363636362,61.040159655757265
9,Contrattazione collettiva,Comunit,15.885947046843178,249.4226327944573,1.8181818181818181,7.2727272727272725,1.8181818181818181,99.18673850376668
10,Personale,Comunit,225.4582484725051,251.5011547344111,7.2727272727272725,9.09090909090909,7.2727272727272725,11.060835795492011
11,Del,Comunit,300.0,300.0,10.0,10.0,10.0,0.0
